strategy,score,raw_sharpe,vol_penalty,return_penalty,cumulative_return,max_drawdown,avg_position,window,rows,start,end
SPY,1.137160277598712,1.137160277598712,1.0,1.0,0.15334096171679024,-0.08405622632156651,1.0,roll180_to_2025-01-31,180,2024-05-14,2025-01-31
2state,1.2365296814983313,1.536097236464771,1.2422647506555984,1.0,0.2768525788125651,-0.0965693227840626,0.9888888888888889,roll180_to_2025-01-31,180,2024-05-14,2025-01-31
3state,1.409047139221859,1.8763836040501876,1.3316684387765858,1.0,0.35866117156632504,-0.0783344410946415,1.35,roll180_to_2025-01-31,180,2024-05-14,2025-01-31
SPY,0.5996437195270502,0.5996437195270502,1.0,1.0,0.09769645553613726,-0.08405622632156651,1.0,roll180_to_2025-02-28,180,2024-06-11,2025-02-28
2state,0.9678485801762158,1.209989109843206,1.2501843104661101,1.0,0.22918457476492016,-0.0965693227840625,1.0,roll180_to_2025-02-28,180,2024-06-11,2025-02-28
3state,0.9900770398500618,1.3271700970445415,1.3404715427453295,1.0,0.26455454059413763,-0.0835451836745833,1.35,roll180_to_2025-02-28,180,2024-06-11,2025-02-28
SPY,-0.20747135379654336,-0.20747135379654336,1.0,1.0,0.01119909789695206,-0.10035403716574365,1.0,roll180_to_2025-03-31,180,2024-07-12,2025-03-31
2state,1.2581916326319569,1.4935788173170212,1.187083730792795,1.0,0.2925183495576644,-0.0965693227840626,1.0444444444444445,roll180_to_2025-03-31,180,2024-07-12,2025-03-31
3state,0.7294009203546904,0.9457092377802389,1.2965561344786387,1.0,0.2043425088090447,-0.10259536628181731,1.3666666666666667,roll180_to_2025-03-31,180,2024-07-12,2025-03-31
SPY,0.145369692482965,0.145369692482965,1.0,1.0,0.057133912338743986,-0.1875538828742609,1.0,roll180_to_2025-04-30,180,2024-08-12,2025-04-30
2state,0.1141515401714609,0.1299283684779781,1.1382095088933506,1.0,0.061904872353352625,-0.3162965543295304,1.0333333333333334,roll180_to_2025-04-30,180,2024-08-12,2025-04-30
3state,0.10371557872017101,0.13507023430777565,1.3023138469120519,1.0,0.06678650320050261,-0.28845859021750264,1.3555555555555556,roll180_to_2025-04-30,180,2024-08-12,2025-04-30
SPY,0.27861463844334483,0.27861463844334483,1.0,1.0,0.07914716688756518,-0.1875538828742611,1.0,roll180_to_2025-05-30,180,2024-09-11,2025-05-30
2state,0.44964688765946276,0.4958920051937961,1.1028476317829132,1.0,0.14404868987086128,-0.31629655432953074,1.0777777777777777,roll180_to_2025-05-30,180,2024-09-11,2025-05-30
3state,0.33682344945809517,0.4311232768328747,1.2799681183910907,1.0,0.1425922408599536,-0.2884585902175024,1.3833333333333333,roll180_to_2025-05-30,180,2024-09-11,2025-05-30
SPY,0.2864514246197616,0.2864514246197616,1.0,1.0,0.08016892356776317,-0.187553882874261,1.0,roll180_to_2025-06-30,180,2024-10-09,2025-06-30
2state,0.334032289476836,0.36872641505563936,1.1038645863642151,1.0,0.11405220552054018,-0.31629655432953074,1.1,roll180_to_2025-06-30,180,2024-10-09,2025-06-30
3state,0.25077095830084295,0.3208919635315837,1.2796217141963406,1.0,0.11299689045268568,-0.28845859021750264,1.3888888888888888,roll180_to_2025-06-30,180,2024-10-09,2025-06-30
SPY,0.10531621351875455,0.10531621351875455,1.0,1.0,0.049025626320825966,-0.187553882874261,1.0,roll180_to_2025-07-31,180,2024-11-08,2025-07-31
2state,0.06775614222257881,0.07677312337019249,1.1330314469828466,1.0000427707778767,0.048538291346676976,-0.31629655432953063,1.1555555555555554,roll180_to_2025-07-31,180,2024-11-08,2025-07-31
3state,0.01289518232112925,0.017271142152657022,1.2997426797634795,1.030471990697418,0.03603353812480248,-0.28845859021750286,1.4333333333333333,roll180_to_2025-07-31,180,2024-11-08,2025-07-31
SPY,0.24347089247879836,0.24347089247879836,1.0,1.0,0.07206302474805826,-0.18755388287426122,1.0,roll180_to_2025-08-29,180,2024-12-10,2025-08-29
2state,0.13575247438496316,0.15702787521666742,1.1511997377836891,1.0047969725736268,0.06677733590689439,-0.31629655432953063,1.2222222222222223,roll180_to_2025-08-29,180,2024-12-10,2025-08-29
3state,0.03515648184250388,0.05232188332802248,1.3146014794904712,1.1320975308979648,0.04460229904891255,-0.2884585902175024,1.4833333333333334,roll180_to_2025-08-29,180,2024-12-10,2025-08-29
SPY,0.7631181044546353,0.7631181044546353,1.0,1.0,0.15980962671939714,-0.1875538828742611,1.0,roll180_to_2025-09-30,180,2025-01-13,2025-09-30
2state,0.3136280763820033,0.42304686332518193,1.1566870206941389,1.1661587698220612,0.12655479138115466,-0.31629655432953063,1.2444444444444445,roll180_to_2025-09-30,180,2025-01-13,2025-09-30
3state,0.38336527337690446,0.5048439799859937,1.316874571186467,1.0,0.1602901990465373,-0.2845624317672468,1.488888888888889,roll180_to_2025-09-30,180,2025-01-13,2025-09-30
SPY,0.59587829307389,0.59587829307389,1.0,1.0,0.13059220655198245,-0.1875538828742609,1.0,roll180_to_2025-10-31,180,2025-02-14,2025-10-31
2state,0.6898060346916618,0.7906167438481323,1.1461435593290108,1.0,0.215546983180801,-0.31629655432953063,1.2222222222222223,roll180_to_2025-10-31,180,2025-02-14,2025-10-31
3state,0.5064181165624306,0.6662492042904239,1.315610920108719,1.0,0.20534496651790501,-0.2762608816263774,1.5,roll180_to_2025-10-31,180,2025-02-14,2025-10-31
SPY,1.1137055150075603,1.1137055150075603,1.0,1.0,0.2192839378487701,-0.13724672435964258,1.0,roll180_to_2025-11-28,180,2025-03-14,2025-11-28
2state,0.6683562338967718,0.7957961634358008,1.190398553900138,1.000233618288084,0.21795996397352901,-0.3162965543295305,1.2666666666666666,roll180_to_2025-11-28,180,2025-03-14,2025-11-28
3state,0.6893963138859932,0.9316900386941668,1.3514578188595336,1.0,0.28183613037017285,-0.2609997423445266,1.538888888888889,roll180_to_2025-11-28,180,2025-03-14,2025-11-28
SPY,2.408650142211174,2.408650142211174,1.0,1.0,0.28177925454571917,-0.05071356871644894,1.0,roll180_to_2025-12-31,180,2025-04-15,2025-12-31
2state,2.5422011353891554,3.2373761264794023,1.2734539692445819,1.0,0.5877073327849116,-0.05277745105219678,1.2777777777777777,roll180_to_2025-12-31,180,2025-04-15,2025-12-31
3state,2.0837471610045735,2.890839199842802,1.3873272410118749,1.0,0.5618277854019249,-0.06935303570656659,1.5444444444444445,roll180_to_2025-12-31,180,2025-04-15,2025-12-31
SPY,1.906990770608969,1.906990770608969,1.0,1.0,0.19376358035514407,-0.05071356871644883,1.0,roll180_to_2026-01-30,180,2025-05-14,2026-01-30
2state,1.6796426649184832,2.2787563689482275,1.356691168034137,1.0,0.3556710242387229,-0.052777451052197,1.1888888888888889,roll180_to_2026-01-30,180,2025-05-14,2026-01-30
3state,1.4358147377945303,2.0843610211755803,1.451692176093166,1.0,0.3447251517921457,-0.06935303570656659,1.5166666666666666,roll180_to_2026-01-30,180,2025-05-14,2026-01-30
SPY,1.4298240477586737,1.4298240477586737,1.0,1.0,0.15128241944601695,-0.05071356871644872,1.0,roll180_to_2026-02-27,180,2025-06-11,2026-02-27
2state,1.6780061756843254,2.186914299023611,1.30328143645344,1.0,0.33195194036113085,-0.05277745105219711,1.1666666666666667,roll180_to_2026-02-27,180,2025-06-11,2026-02-27
3state,1.3916367566467525,1.9693580953013834,1.4151380278620203,1.0,0.3208446699268386,-0.06935303570656681,1.4944444444444445,roll180_to_2026-02-27,180,2025-06-11,2026-02-27
SPY,0.36844758668211375,0.36844758668211375,1.0,1.0,0.06213715454540236,-0.08881363466930292,1.0,roll180_to_2026-03-31,180,2025-07-15,2026-03-31
2state,1.033735901719711,1.4063440248095558,1.3604480820197677,1.0,0.24633572954139438,-0.10535432694443614,1.1777777777777778,roll180_to_2026-03-31,180,2025-07-15,2026-03-31
3state,0.8340312419096828,1.2055490195715164,1.4454482745888135,1.0,0.22354086235481097,-0.10417836678218761,1.5,roll180_to_2026-03-31,180,2025-07-15,2026-03-31
SPY,1.0334071579179644,1.0334071579179644,1.0,1.0,0.1276913648682525,-0.08881363466930314,1.0,roll180_to_2026-04-29,180,2025-08-12,2026-04-29
2state,1.3016982285308096,1.6758534918753272,1.287436254535597,1.0,0.2853403557633438,-0.10535432694443603,1.1444444444444444,roll180_to_2026-04-29,180,2025-08-12,2026-04-29
3state,1.0492695839420114,1.439978176482084,1.3723624495739366,1.0,0.259275742592586,-0.10417836678218728,1.4555555555555555,roll180_to_2026-04-29,180,2025-08-12,2026-04-29
