strategy,mean_period_return,period_volatility,annualized_sharpe,cumulative_return,max_drawdown,positive_period_rate,threshold,holding_window,rows,start_date,end_date,mean_similarity,median_similarity,hit_rate_expected_positive,realized_positive_rate
2state_threshold,0.00024067808692313796,0.015794773467544085,0.2418930662082188,0.3799191439311682,-0.701369355870558,0.24028268551236748,0.001,1,2830,2015-01-28,2026-04-29,0.9605498869457653,0.9695013681625954,0.43498233215547705,0.5491166077738516
3state_threshold,0.000613271741309844,0.017192509469403205,0.5662574796879984,2.710237568162914,-0.6115800589568869,0.45618374558303887,0.001,1,2830,2015-01-28,2026-04-29,0.9605498869457653,0.9695013681625954,0.43498233215547705,0.5491166077738516
SPY_1d_benchmark,0.0005811221737795898,0.011148625212472623,0.8274588429679872,3.3398464087637265,-0.3369994047055286,0.5491166077738516,0.001,1,2830,2015-01-28,2026-04-29,0.9605498869457653,0.9695013681625954,0.43498233215547705,0.5491166077738516
