strategy,score,raw_sharpe,vol_penalty,return_penalty,cumulative_return,max_drawdown,avg_position,rows,start_date,end_date,risk_free_col
cash,0.0,0.0,1.0,2.2028472938500974,0.2668599904520643,0.0,0.0,2830,2015-01-28,2026-04-29,yield_3m
SPY,0.6195935918864414,0.6195935918864414,1.0,1.0,3.3398464087637265,-0.3369994047055286,1.0,2830,2015-01-28,2026-04-29,yield_3m
position_2state,0.013890157340709749,0.03417035780901345,1.2164820090507962,2.022258506091081,0.3947160319279137,-0.7011686680637071,0.8699646643109541,2830,2015-01-28,2026-04-29,yield_3m
position_3state,0.23392430025180846,0.32700566706333334,1.3419496755862972,1.0417025095652268,2.450722931185323,-0.6118898039679583,1.2643109540636042,2830,2015-01-28,2026-04-29,yield_3m
